id,Month,Day,Year,Time,module,timezone,Date,Likes,Retweet,text
92,Nov,5th,2020,11:07:27,AM,EST,92.Nov 5th 2020 - 11:07:27 AM EST,678k,86k,Big legal win in Pennsylvania!
93,Jan,26th,2020,6:54:34,PM,EST,93.Jan 26th 2020 - 6:54:34 PM EST,695k,86k,"Kobe Bryant, despite being one of the truly great basketball players of all time, was just getting started in life. He loved his family so much, and had such strong passion for the future. The loss of his beautiful daughter, Gianna, makes this moment even more devastating...."
94,Dec,30th,2020,4:51:06,PM,EST,94.Dec 30th 2020 - 4:51:06 PM EST,348k,86k,We now have far more votes than needed to flip Georgia in the Presidential race. Massive VOTER FRAUD took place. Thank you to the Georgia Legislature for today’s revealing meeting!
95,Jun,11th,2020,10:09:59,AM,EST,95.Jun 11th 2020 - 10:09:59 AM EST,412k,85k,THOSE THAT DENY THEIR HISTORY ARE DOOMED TO REPEAT IT!
96,Jan,1st,2018,7:12:00,AM,EST,96.Jan 1st 2018 - 7:12:00 AM EST,265k,85k,"The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies &amp, deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!"
97,Dec,27th,2020,5:51:36,PM,EST,97.Dec 27th 2020 - 5:51:36 PM EST,409k,85k,"See you in Washington, DC, on January 6th. Don’t miss it. Information to follow!"
98,Sep,28th,2020,10:33:31,AM,EST,98.Sep 28th 2020 - 10:33:31 AM EST,408k,85k,"Joe Biden just announced that he will not agree to a Drug Test. Gee, I wonder why?"
99,Oct,18th,2020,9:50:54,AM,EST,99.Oct 18th 2020 - 9:50:54 AM EST,277k,85k,"Hunter Biden’s laptop is a disaster for the entire Biden family, but especially for his father, Joe. It is now a proven fact, and cannot be denied, that all of that info is the REAL DEAL. That makes it impossible for “50%, or 10%” Joe, to ever assume the office of the President!"
100,Jan,2nd,2021,9:22:13,AM,EST,100.Jan 2nd 2021 - 9:22:13 AM EST,537k,85k,MAKE AMERICA GREAT AGAIN!
101,Nov,30th,2020,8:41:43,AM,EST,101.Nov 30th 2020 - 8:41:43 AM EST,496k,84k,"I’m not fighting for me, I’m fighting for the 74,000,000 million people (not including the many Trump ballots that were “tossed”), a record for a sitting President, who voted for me!"
102,Jun,4th,2020,6:59:50,AM,EST,102.Jun 4th 2020 - 6:59:50 AM EST,532k,84k,MAKE AMERICA GREAT AGAIN!
103,Jul,25th,2019,5:24:21,PM,EST,103.Jul 25th 2019 - 5:24:21 PM EST,305k,84k,Give A$AP Rocky his FREEDOM. We do so much for Sweden but it doesn’t seem to work the other way around. Sweden should focus on its real crime problem! #FreeRocky
104,Apr,20th,2020,10:06:22,PM,EST,104.Apr 20th 2020 - 10:06:22 PM EST,382k,84k,"In light of the attack from the Invisible Enemy, as well as the need to protect the jobs of our GREAT American Citizens, I will be signing an Executive Order to temporarily suspend immigration into the United States!"
105,Jan,8th,2021,10:44:28,AM,EST,105.Jan 8th 2021 - 10:44:28 AM EST,511k,84k,"To all of those who have asked, I will not be going to the Inauguration on January 20th."
106,Aug,3rd,2020,7:49:09,AM,EST,106.Aug 3rd 2020 - 7:49:09 AM EST,416k,83k,FAKE NEWS IS THE ENEMY OF THE PEOPLE!
107,Dec,26th,2020,2:02:58,PM,EST,107.Dec 26th 2020 - 2:02:58 PM EST,359k,83k,"The lockdowns in Democrat run states are absolutely ruining the lives of so many people - Far more than the damage that would be caused by the China Virus. Cases in California have risen despite the lockdown, yet Florida & others are open & doing well. Common sense please!"
108,Jan,5th,2021,5:05:56,PM,EST,108.Jan 5th 2021 - 5:05:56 PM EST,328k,83k,"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!"
109,Nov,17th,2020,9:11:08,PM,EST,109.Nov 17th 2020 - 9:11:08 PM EST,512k,82k,Wow! Michigan just refused to certify the election results! Having courage is a beautiful thing. The USA stands proud!
110,Nov,13th,2020,7:28:15,PM,EST,110.Nov 13th 2020 - 7:28:15 PM EST,416k,82k,"700,000 ballots were not allowed to be viewed in Philadelphia and Pittsburgh which means, based on our great Constitution, we win the State of Pennsylvania!"
111,Jun,14th,2020,5:54:50,PM,EST,111.Jun 14th 2020 - 5:54:50 PM EST,456k,82k,THE SILENT MAJORITY IS STRONGER THAN EVER!!!
112,Jan,1st,2021,8:30:01,AM,EST,112.Jan 1st 2021 - 8:30:01 AM EST,681k,82k,HAPPY NEW YEAR!
113,Apr,17th,2020,9:20:29,AM,EST,113.Apr 17th 2020 - 9:20:29 AM EST,295k,82k,Why did the W.H.O. Ignore an email from Taiwanese health officials in late December alerting them to the possibility that CoronaVirus could be transmitted between humans? Why did the W.H.O. make several claims about the CoronaVirus that ere either inaccurate or misleading....
114,May,16th,2020,4:14:20,PM,EST,114.May 16th 2020 - 4:14:20 PM EST,336k,82k,OBAMAGATE!
115,Nov,9th,2020,3:17:47,PM,EST,115.Nov 9th 2020 - 3:17:47 PM EST,479k,81k,Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.
116,May,30th,2020,11:54:56,AM,EST,116.May 30th 2020 - 11:54:56 AM EST,342k,81k,It’s ANTIFA and the Radical Left. Don’t lay the blame on others!
117,Dec,15th,2020,10:41:41,AM,EST,117.Dec 15th 2020 - 10:41:41 AM EST,412k,81k,Tremendous evidence pouring in on voter fraud. There has never been anything like this in our Country!
118,Nov,13th,2020,1:35:54,PM,EST,118.Nov 13th 2020 - 1:35:54 PM EST,406k,81k,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up & down!"
119,Jul,30th,2020,4:23:17,PM,EST,119.Jul 30th 2020 - 4:23:17 PM EST,440k,81k,"We are going to WIN the 2020 Election, BIG! #MAGA"
120,Apr,22nd,2020,8:08:05,AM,EST,120.Apr 22nd 2020 - 8:08:05 AM EST,424k,81k,I have instructed the United States Navy to shoot down and destroy any and all Iranian gunboats if they harass our ships at sea.
121,Aug,19th,2020,10:33:12,AM,EST,121.Aug 19th 2020 - 10:33:12 AM EST,297k,81k,"Don’t buy GOODYEAR TIRES - They announced a BAN ON MAGA HATS. Get better tires for far less! (This is what the Radical Left Democrats do. Two can play the same game, and we have to start playing it now!)."
122,Oct,7th,2020,11:25:38,AM,EST,122.Oct 7th 2020 - 11:25:38 AM EST,440k,80k,THE FAKE NEWS MEDIA IS THE REAL OPPOSITION PARTY!
123,Mar,24th,2019,4:42:19,PM,EST,123.Mar 24th 2019 - 4:42:19 PM EST,363k,80k,"No Collusion, No Obstruction, Complete and Total EXONERATION. KEEP AMERICA GREAT!"
124,Nov,10th,2020,7:55:12,PM,EST,124.Nov 10th 2020 - 7:55:12 PM EST,401k,80k,"“I don’t care what state you’re in, this computer voting system is wide open to fraud and intervention.” @LouDobbs True, and wait until you see what’s coming!"
125,Oct,9th,2020,2:44:41,PM,EST,125.Oct 9th 2020 - 2:44:41 PM EST,285k,79k,"Breaking News: 50,000 OHIO VOTERS getting WRONG ABSENTEE BALLOTS. Out of control. A Rigged Election!!!"
126,Nov,26th,2020,11:11:22,PM,EST,126.Nov 26th 2020 - 11:11:22 PM EST,403k,79k,"For purposes of National Security, Section 230 must be immediately terminated!!!"
127,Oct,5th,2020,7:05:18,AM,EST,127.Oct 5th 2020 - 7:05:18 AM EST,523k,79k,PRO LIFE! VOTE!
128,Nov,6th,2017,6:05:14,PM,EST,128.Nov 6th 2017 - 6:05:14 PM EST,38k,79k,....Some of those they are harshly treating have been “milking” their country for years!
